127.0.0.1 - - [10/Feb/2020:10:33:42 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [10/Feb/2020:10:33:43 +0530] "GET /jsp/index.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [10/Feb/2020:15:05:28 +0530] "GET /jsp/index.html HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [10/Feb/2020:15:05:35 +0530] "GET /jsp/validate.jsp?Login=admin&passwd=admin HTTP/1.1" 500 2393
0:0:0:0:0:0:0:1 - - [10/Feb/2020:15:47:24 +0530] "GET /jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2020:15:47:31 +0530] "GET /jsp/validate.jsp?Login=admin&passwd=admin HTTP/1.1" 500 2395
0:0:0:0:0:0:0:1 - - [10/Feb/2020:15:58:21 +0530] "GET /jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2020:15:58:34 +0530] "GET /jsp/validate.jsp?Login=admin&passwd=admin HTTP/1.1" 500 2352
0:0:0:0:0:0:0:1 - - [10/Feb/2020:16:09:10 +0530] "GET /jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2020:16:09:17 +0530] "GET /jsp/validate.jsp?Login=admin&passwd=1234 HTTP/1.1" 500 2352
0:0:0:0:0:0:0:1 - - [10/Feb/2020:16:11:43 +0530] "GET /jsp/validate.jsp?Login=admin&passwd=admin HTTP/1.1" 500 2352
0:0:0:0:0:0:0:1 - - [10/Feb/2020:16:12:27 +0530] "GET /jsp/validate.jsp?Login=admin&passwd=admin HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [10/Feb/2020:16:49:13 +0530] "GET /jsp/index.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [10/Feb/2020:16:49:57 +0530] "GET /jsp/JDBC.jsp?Login=admin&passwd=admin HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [10/Feb/2020:16:50:26 +0530] "GET /jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2020:16:50:32 +0530] "GET /jsp/JDBC.jsp?Login=admin&passwd=admin HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [10/Feb/2020:16:51:18 +0530] "GET /jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2020:16:51:24 +0530] "GET /jsp/JDBC.jsp?Login=admin&passwd=admin HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [10/Feb/2020:17:11:54 +0530] "GET /jsp/update.html HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [10/Feb/2020:17:11:56 +0530] "GET /jsp/Empid.html HTTP/1.1" 200 230
